"","Sp_code","Common_name","Scientific_name"
"1","Ccr","Trulus","Caranx crysos/Alepes djedaba"
"2","DLS","","Lithognathus mormyrus/Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo)"
"3","MUL","Soltan","Mullus sp. (Mullus barbatus/Mullus surmuletus)"
"4","Nra","Barbon","Nemipterus randalli"
"5","Per","Gerbida","Pagellus erythrinus"
"6","Sd","Intias","Seriola dumerili"
"7","Sja","Scombri","scomber japonicus"
"8","SPH","Malitta","Sphyraena sp. (Sphyraena sphyraena/Sphyraena chrysotaenia/Sphyraena viridensis)"
"9","Sud","Hulim","Saurida undosquamis/Synodus saurus"
"10","Umo","Pas_Tzahov","Upeneus moluccensis"
